Target,Source,Weight,tipo
0,5,83,Dirigida
1,6,80,No dirigida
2,7,93,No dirigida
3,8,95,No dirigida
4,9,92,No dirigida
5,10,91,Dirigida
6,11,85,No dirigida
7,12,89,No dirigida
8,13,89,No dirigida
9,14,86,No dirigida
10,15,96,Dirigida
11,16,95,No dirigida
12,17,96,No dirigida
13,18,83,No dirigida
14,19,90,No dirigida
15,20,98,No dirigida
16,21,84,Dirigida
17,22,100,No dirigida
18,23,83,No dirigida
19,24,92,No dirigida
20,25,86,No dirigida
21,26,99,No dirigida
22,27,86,Dirigida
23,28,87,No dirigida
24,29,85,No dirigida
25,30,91,No dirigida
26,31,100,No dirigida
27,32,100,Dirigida
28,33,95,No dirigida
29,34,98,No dirigida
30,35,86,No dirigida
31,36,83,No dirigida
32,37,83,Dirigida
33,38,85,No dirigida
34,39,82,No dirigida
35,40,96,No dirigida
36,41,90,No dirigida
37,42,82,Dirigida
38,43,94,No dirigida
39,44,89,No dirigida
40,45,83,No dirigida
41,46,82,No dirigida
42,47,84,Dirigida
43,48,88,No dirigida
44,49,88,No dirigida
10,11,94,No dirigida
22,23,89,No dirigida
42,43,99,No dirigida
5,6,91,No dirigida
28,29,80,No dirigida
36,37,80,No dirigida
8,9,98,No dirigida
15,16,82,Dirigida
40,41,99,No dirigida
18,19,86,No dirigida
30,31,93,No dirigida
46,47,100,No dirigida
31,32,85,No dirigida
1,2,93,No dirigida
16,17,89,No dirigida
32,33,80,No dirigida
6,7,83,No dirigida
12,13,99,No dirigida
20,21,100,No dirigida
25,26,93,No dirigida
3,4,95,No dirigida
27,28,95,No dirigida
35,36,91,No dirigida
47,48,82,Dirigida
41,42,82,No dirigida
2,3,100,No dirigida
11,12,98,No dirigida
23,24,82,No dirigida
43,44,82,No dirigida
0,1,95,No dirigida
17,18,80,No dirigida
33,34,82,No dirigida
48,49,93,No dirigida
26,27,90,No dirigida
38,39,91,No dirigida
13,14,90,No dirigida
21,22,85,Dirigida
45,46,95,No dirigida
7,8,85,No dirigida
